Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,CAPC2012X95N,92.202,-82.042,180,top
C2,4.7uF,CAPC2012X95N,81.661,-90.043,180,top
C3,0.1uF,CAPC1608X90,83.058,-100.076,180,top
C4,1uF,CAPC1608X90,90.17,-105.029,90,top
C5,1uF,CAPC1608X90,90.17,-100.965,270,top
C6,1000pF,CAPC1608X90N,80.518,-103.759,0,top
C7,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,87.63,-111.2139,270,top
C8,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,86.36,-111.2139,270,top
C9,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,84.8868,-111.2139,270,top
C10,10uF,GRM188R60J106ME84D,97.282,-70.231,90,top
C11,0.1uF,CAPC1608X90,99.187,-70.104,90,top
C12,10uF,GRM188R60J106ME84D,96.901,-110.744,270,top
C13,0.1uF,CAPC1608X90,95.123,-110.871,270,top
C14,10uF,GRM188R60J106ME84D,102.362,-110.744,270,top
C15,0.1uF,CAPC1608X90,104.14,-110.744,270,top
C16,0.1uF,CAPC1608X90,135.382,-83.185,90,top
C17,0.1uF,CAPC1608X90,140.335,-83.185,90,top
C18,10uF,GRM188R60J106ME84D,157.861,-74.422,0,top
C19,0.1uF,CAPC1608X90,157.988,-72.644,0,top
C20,10uF,GRM188R60J106ME84D,161.671,-70.104,90,top
C21,0.1uF,CAPC1608X90,160.02,-69.977,90,top
C22,0.01uF,C0805C103J5RAC7210,154.305,-74.549,0,top
C23,0.1uF,CAPC1608X90,157.861,-68.707,90,top
C24,10uF,GRM188R60J106ME84D,156.21,-91.567,0,top
C25,0.1uF,CAPC1608X90,156.21,-89.789,0,top
C26,10uF,GRM188R60J106ME84D,160.02,-86.487,90,top
C27,0.1uF,CAPC1608X90,158.242,-86.36,90,top
C28,0.01uF,C0805C103J5RAC7210,152.4,-91.567,0,top
C29,0.1uF,CAPC1608X90,156.083,-85.725,90,top
C30,10uF,GRM188R60J106ME84D,156.337,-107.315,0,top
C31,0.1uF,CAPC1608X90,156.337,-105.41,0,top
C32,10uF,GRM188R60J106ME84D,159.893,-102.87,90,top
C33,0.1uF,CAPC1608X90,158.242,-102.743,90,top
C34,0.01uF,C0805C103J5RAC7210,152.4,-107.315,0,top
C35,0.1uF,CAPC1608X90,156.083,-101.854,90,top
C36,10uF,GRM188R60J106ME84D,171.323,-74.93,90,top
C37,0.1uF,CAPC1608X90,172.974,-75.057,90,top
C38,1uF,CAPC1608X90,168.529,-69.85,180,top
C39,1uF,CAPC1608X90,175.26,-72.009,0,top
C40,0.1uF,CAPC1608X90,168.529,-67.945,180,top
C41,10uF,GRM188R60J106ME84D,176.149,-75.184,90,top
C42,0.1uF,CAPC1608X90,177.8,-75.057,90,top
C43,10uF,GRM188R60J106ME84D,169.799,-92.837,90,top
C44,0.1uF,CAPC1608X90,171.577,-93.091,90,top
C45,1uF,CAPC1608X90,166.751,-87.503,180,top
